timedate,temp,hum,voltage,radiation intensity
2025-06-14 11:17:30,27.53,41.75,0.969,969.5
2025-06-14 12:18:07,28.95,40.80,0.914,913.8
2025-06-14 13:17:57,30.52,39.09,0.895,895.3
2025-06-14 14:17:42,32.80,33.07,0.890,889.7
2025-06-14 15:17:23,32.77,35.43,0.895,895.3
2025-06-14 16:17:02,33.85,33.45,0.903,902.6
2025-06-14 17:16:31,34.50,33.90,0.954,954.1
2025-06-14 18:15:27,34.53,36.59,0.967,967.0
2025-06-14 19:15:23,36.48,35.59,0.937,937.2
2025-06-14 20:14:53,32.83,40.13,0.929,929.2
2025-06-14 21:14:10,27.53,52.35,0.803,803.4
2025-06-14 22:13:32,24.32,61.16,0.000,0.0
2025-06-14 23:13:05,23.14,67.56,0.000,0.0
2025-06-15 00:12:41,20.68,73.33,0.000,0.0
2025-06-15 01:12:17,19.04,78.79,0.000,0.0
2025-06-15 02:11:57,18.91,79.58,0.000,0.0
2025-06-15 03:11:35,17.27,84.46,0.000,0.0
2025-06-15 04:11:16,15.87,87.59,0.000,0.0
2025-06-15 05:10:56,15.57,88.31,0.401,401.3
2025-06-15 06:10:40,18.08,82.24,0.941,941.2
2025-06-15 07:10:50,26.07,60.43,0.982,982.3
2025-06-15 08:11:05,22.69,68.18,0.985,984.8
2025-06-15 09:10:50,20.26,83.00,0.980,979.9
2025-06-15 10:10:28,23.02,78.37,0.995,995.2
2025-06-15 11:10:39,25.76,65.43,0.911,911.4
2025-06-15 12:10:07,27.32,58.93,0.975,975.1
2025-06-15 13:09:49,27.82,55.94,0.981,980.7
2025-06-15 14:08:53,23.41,82.50,1.006,1005.7
2025-06-15 15:09:22,27.36,62.61,0.985,984.8
2025-06-15 16:09:10,28.35,53.31,0.928,928.4
2025-06-15 17:08:13,28.71,56.61,0.993,992.8
2025-06-15 18:08:59,26.07,57.35,0.981,980.7
2025-06-15 19:08:43,26.10,55.23,0.957,956.6
2025-06-15 20:07:40,18.83,85.82,0.807,806.7
2025-06-15 21:07:06,18.53,93.79,0.695,695.5
2025-06-15 22:06:45,17.16,95.64,0.000,0.0
2025-06-15 23:06:22,16.52,96.63,0.000,0.0
2025-06-16 00:06:01,15.18,96.97,0.000,0.0
2025-06-16 01:05:36,13.79,97.37,0.000,0.0
2025-06-16 02:05:16,13.35,97.69,0.000,0.0
2025-06-16 03:04:55,13.24,98.01,0.000,0.0
2025-06-16 04:04:37,13.44,98.25,0.000,0.0
2025-06-16 05:04:19,13.62,98.51,0.208,207.9
2025-06-16 06:04:02,13.75,98.59,0.845,845.3
2025-06-16 07:03:45,14.81,98.62,1.008,1008.1
2025-06-16 08:03:48,18.21,89.61,0.994,993.6
2025-06-16 09:03:32,18.94,80.73,1.073,1072.6
2025-06-16 10:03:44,19.41,71.52,1.007,1006.5
2025-06-16 11:03:28,21.50,61.19,0.982,981.5
2025-06-16 12:03:06,21.37,56.07,1.008,1008.1
2025-06-16 13:03:13,22.60,51.17,0.941,941.2
2025-06-16 14:03:23,24.70,47.18,0.890,889.7
2025-06-16 15:02:30,22.86,47.40,0.972,971.9
2025-06-16 16:01:50,22.97,45.74,0.931,930.8
2025-06-16 17:01:31,25.42,43.93,0.918,917.9
2025-06-16 18:01:59,23.38,45.00,0.940,940.4
2025-06-16 19:01:23,23.13,44.41,1.018,1017.8
2025-06-16 20:01:00,24.80,41.91,0.979,979.1
2025-06-16 21:00:20,21.26,48.04,0.898,897.7
2025-06-16 21:59:35,15.90,70.14,0.272,272.4
2025-06-16 22:59:07,14.02,76.33,0.000,0.0
2025-06-16 23:58:43,12.63,81.69,0.000,0.0
2025-06-17 00:58:21,11.44,85.29,0.000,0.0
2025-06-17 01:58:00,10.07,88.42,0.000,0.0
2025-06-17 02:57:40,9.01,90.34,0.000,0.0
2025-06-17 03:57:21,8.10,92.82,0.000,0.0
2025-06-17 04:56:48,7.62,94.16,0.046,45.9
2025-06-17 05:56:28,9.93,93.03,0.944,944.5